loss,grad_norm,learning_rate,epoch,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
0.0,0.0007017616298981011,3.65e-05,27.0,,,,,,,,,
,,,27.0,1.609287142753601,0.765,5.4455,36.728,1.285,,,,
0.0,0.0007558969082310796,3.6e-05,28.0,,,,,,,,,
,,,28.0,1.6359665393829346,0.765,4.4393,45.052,1.577,,,,
0.0,0.0007824792992323637,3.55e-05,29.0,,,,,,,,,
,,,29.0,1.5404132604599,0.815,4.4412,45.033,1.576,,,,
0.0,0.0004937468911521137,3.5e-05,30.0,,,,,,,,,
,,,30.0,1.5358859300613403,0.82,3.5012,57.123,1.999,,,,
,,,31.0,1.5569119453430176,0.82,4.3336,46.151,1.615,,,,
0.0,0.000539775297511369,3.45e-05,31.0,,,,,,,,,
,,,32.0,1.5775760412216187,0.82,4.4847,44.596,1.561,,,,
0.0,0.004732314497232437,3.35e-05,33.0,,,,,,,,,
,,,33.0,1.600258231163025,0.82,4.7437,42.161,1.476,,,,
0.0,0.0003441260487306863,3.3e-05,34.0,,,,,,,,,
,,,34.0,1.655224323272705,0.805,4.2232,47.358,1.658,,,,
0.0,0.00030447711469605565,3.2500000000000004e-05,35.0,,,,,,,,,
,,,35.0,1.669407606124878,0.805,5.4272,36.851,1.29,,,,
,,,36.0,1.6819660663604736,0.805,3.5922,55.676,1.949,,,,
0.0,0.0002900142571888864,3.2000000000000005e-05,36.0,,,,,,,,,
0.0067,0.00036581204039976,3.15e-05,37.0,,,,,,,,,
,,,37.0,1.5043575763702393,0.82,4.1971,47.652,1.668,,,,
0.0,0.0002076855453196913,3.1e-05,38.0,,,,,,,,,
,,,38.0,1.3057957887649536,0.83,3.4819,57.44,2.01,,,,
0.0,0.0003433316305745393,3.05e-05,39.0,,,,,,,,,
,,,39.0,1.3232464790344238,0.845,3.9399,50.763,1.777,,,,
0.0,0.00029852287843823433,3e-05,40.0,,,,,,,,,
,,,40.0,1.3425887823104858,0.84,4.7168,42.401,1.484,,,,
0.0,0.00035629660123959184,2.95e-05,41.0,,,,,,,,,
,,,41.0,1.3575122356414795,0.835,4.8834,40.955,1.433,,,,
0.0,0.00040019379230216146,2.9e-05,42.0,,,,,,,,,
,,,42.0,1.3704965114593506,0.835,3.3914,58.972,2.064,,,,
0.0,0.000382822472602129,2.8499999999999998e-05,43.0,,,,,,,,,
,,,43.0,1.384804368019104,0.835,3.3291,60.077,2.103,,,,
0.0,0.0002252151316497475,2.8000000000000003e-05,44.0,,,,,,,,,
,,,44.0,1.398786187171936,0.83,3.5275,56.698,1.984,,,,
,,,45.0,1.6053497791290283,0.825,4.9441,40.452,1.416,,,,
0.0,0.0010042948415502906,2.7500000000000004e-05,45.0,,,,,,,,,
0.0,0.00021107378415763378,2.7000000000000002e-05,46.0,,,,,,,,,
,,,46.0,1.699273943901062,0.82,4.0569,49.299,1.725,,,,
0.0006,0.00017364820814691484,2.6500000000000004e-05,47.0,,,,,,,,,
,,,47.0,1.6773643493652344,0.81,4.1141,48.614,1.701,,,,
0.0,0.0001276844268431887,2.6000000000000002e-05,48.0,,,,,,,,,
,,,48.0,1.6386843919754028,0.83,3.3634,59.464,2.081,,,,
,,,49.0,1.5969934463500977,0.83,3.3291,60.076,2.103,,,,
0.0,0.0002246913209091872,2.5500000000000003e-05,49.0,,,,,,,,,
0.0001,0.00024467907496728003,2.5e-05,50.0,,,,,,,,,
,,,50.0,2.758366346359253,0.75,3.7083,53.933,1.888,,,,
